p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.2588148799821645,0.029,0.206,0,0,NFIB
0,0.3622052637692769,0.035,0.212,0,0,LCOR
0,0.3068080691794819,0.028,0.205,0,0,VPS4B
0,0.3199486075848635,0.031,0.207,0,0,ARFGEF3
0,0.3107055599328579,0.032,0.208,0,0,PAPOLA
0,0.45896817164705106,0.035,0.211,0,0,CHP1
0,0.2808363169875927,0.033,0.209,0,0,MRTFB
0,0.25535922177701675,0.027,0.202,0,0,PSMD1
0,0.3793824924554201,0.032,0.207,0,0,CFH
0,0.3203119144862623,0.035,0.21,0,0,GRHL2
0,0.38418086322055844,0.029,0.203,0,0,VGLL4
0,0.2689281564803807,0.03,0.204,0,0,DECR1
0,0.2593144266296183,0.035,0.209,0,0,MORF4L2
0,0.30785952641808517,0.03,0.203,0,0,DHCR24
0,0.30892794664202794,0.029,0.202,0,0,SOX2
0,0.30417649911651606,0.04,0.213,0,0,FHIT
0,0.258661514451844,0.033,0.206,0,0,EIF4H
0,0.3666593652389163,0.034,0.207,0,0,TPD52
0,0.31375698329052193,0.026,0.198,0,0,PTPRA
0,0.298303579088383,0.035,0.207,0,0,MAGI1
0,0.3026033668515766,0.028,0.199,0,0,FAM114A1
0,0.30591973577097353,0.028,0.199,0,0,ADAM10
0,0.46186276288510436,0.034,0.205,0,0,CD2AP
0,0.27970306125300315,0.027,0.197,0,0,REXO2
0,0.40328349047013134,0.028,0.198,0,0,MPZL2
0,0.33812228614348255,0.031,0.201,0,0,TANC2
0,0.4088389540810551,0.034,0.204,0,0,B4GALT1
0,0.35094613032587263,0.028,0.197,0,0,NIPAL2
0,0.27481971902867375,0.026,0.195,0,0,HECTD4
0,0.2972708572209081,0.028,0.197,0,0,ARHGAP5
0,0.2910999124440667,0.026,0.195,0,0,HUWE1
0,0.4234196346303566,0.033,0.201,0,0,CERS6
0,0.2987195443082566,0.035,0.203,0,0,NAALADL2
0,0.3152847895167934,0.028,0.196,0,0,SH3RF1
0,0.3280594111375076,0.032,0.2,0,0,CADPS2
0,0.2560387821216378,0.027,0.194,0,0,MET
0,0.40151903481146883,0.031,0.198,0,0,TRAM1
0,0.256098708327724,0.025,0.192,0,0,USP3
0,0.30232323493940455,0.027,0.194,0,0,PSMC5
0,0.3258452682684388,0.029,0.195,0,0,LIPH
0,0.25578572570919794,0.027,0.193,0,0,AUTS2
0,0.44271289597514496,0.033,0.199,0,0,MEIS2
0,0.4363112193569162,0.029,0.195,0,0,CXADR
0,0.27296084353476385,0.024,0.189,0,0,ZNF644
0,0.46718828402762513,0.037,0.202,0,0,ENAH
0,0.2993129239023633,0.033,0.198,0,0,ATP13A5
0,0.43653871306671527,0.036,0.2,0,0,CARMIL1
